First Name,Last Name,Email Address,Unit 5 (Ch4.2) - Multiply Polynomials,Points,Feedback
Karthik,Armstrong,4e9g@example.com,,4,
Nolan,Reese,8w4p@example.com,,4,
Afrim,Gibson,982p@example.com,,4,
Henrietta,Stewart,ds01@example.com,2,4,Work?
Joel,Clayton,v54u@example.com,,4,
Sinclair,Kramer,t981@example.com,,4,
Alexandra,Walters,bz9x@example.com,,4,
Rashmi,Meyers,pnxc@example.com,,4,
Célestin,Hays,lwp6@example.com,4,4,
Shamil,Mitchell,low0@example.com,2,4,Work?
Elisa,Kelley,4r3t@example.com,,4,
Robyn,Strong,i7lx@example.com,4,4,Take a look at the video I just attached to the assignment. You may want to revise your answers.
Mason,Maxwell,6d6b@example.com,4,4,
Pelagius,Ochoa,pb4r@example.com,4,4,
Sitti,Downs,0lg1@example.com,4,4,
Hidayat,Dillon,6esp@example.com,,4,
Kyung-Hee,Moreno,p22t@example.com,4,4,Great showing your work
Charlize,Parsons,o7lq@example.com,,4,
Hui,Woods,047h@example.com,4,4,
Gol,Jefferson,n7o6@example.com,2,4,Work?
Bogdan,Travis,5ktz@example.com,,4,
Watson,Foster,8wbh@example.com,4,4,Take a look at the video I just attached to the assignment. You may want to revise your answers.
Soile,Harrington,rdax@example.com,,4,
Olga,Sloan,tarl@example.com,4,4,
Jonathan,Carey,7bpu@example.com,,4,
Mirabelle,Harding,zog6@example.com,4,4,
Abd al-Malik,Conway,x18d@example.com,4,4,
Paulius,Spears,zdic@example.com,4,4,
Deasún,Garrison,760i@example.com,4,4,
Tanvi,Giles,y66t@example.com,,4,
Clemens,Mccann,xh9z@example.com,,4,
